Connect database
Seeded default roles: owner, manager, cashier, waiter, chef
[GIN] 2026/05/05 - 18:48:20 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:48:20 | 200 |       503.5µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:49:09 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:09 | 404 |       503.7µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:09 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:19 | 200 |      1.7603ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:19 | 200 |      1.0971ms |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 404 |       505.1µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:20 | 200 |       504.3µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:20 | 200 |         506µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:40 | 404 |         505µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:40 | 404 |       738.1µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:40 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:40 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:40 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:49:40 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:49:40 | 200 |         505µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:49:40 | 200 |       503.9µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:05 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:50:05 | 200 |       660.4µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:50:05 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:50:05 | 200 |       504.7µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:50:05 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:05 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:05 | 200 |       504.6µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:05 | 200 |       684.1µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:19 | 200 |       661.9µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:50:19 | 200 |       652.7µs |    192.168.1.42 | GET      "/api/v1/tables"
